Diplôme (code),"Année 
de  
l'inscription",Version diplôme (code),Diplôme SISE (code),Diplôme SISE (type),Diplôme SISE intitulé 1 (lib.),Diplôme SISE intitulé 2 (lib.),"Diplôme 
intermédiaire
SISE (code)",Diplôme intermédiaire SISE (lib.)
HLLL12,2013,128,2100548,LICENCE (LMD),"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",LANGE D' OC,,
HLLL12,2014,128,2100548,LICENCE (LMD),"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",LANGE D' OC,,
HLLL12,2014,140,2300027,LICENCE (LMD),"LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",,1003137,"ARTS, LETTRES, LANGUES : LANGUES, LITTERATURES, CIVILISATIONS ETRANGERES ET REGIONALES"
HLLL12,2014,149,2300027,LICENCE (LMD),"LANGUES, LITTERATURES ET CIVILISATIONS ETRANGERES ET REGIONALES",,,
HLMU12,2012,120,2100273,LICENCE (LMD),"ARTS, LETTRES LANGUES : MUSIQUE",,1000845,"ARTS, LETTRES, LANGUES :  MUSIQUE"
HLMU12,2013,120,2100273,LICENCE (LMD),"ARTS, LETTRES LANGUES : MUSIQUE",,1000845,"ARTS, LETTRES, LANGUES :  MUSIQUE"
HLMU12,2014,120,2100273,LICENCE (LMD),"ARTS, LETTRES LANGUES : MUSIQUE",,1000845,"ARTS, LETTRES, LANGUES :  MUSIQUE"
HLMU12,2012,121,2100273,LICENCE (LMD),"ARTS, LETTRES LANGUES : MUSIQUE",,,
HLMU12,2013,121,2100273,LICENCE (LMD),"ARTS, LETTRES LANGUES : MUSIQUE",,,
HLMU12,2014,121,2100273,LICENCE (LMD),"ARTS, LETTRES LANGUES : MUSIQUE",,,
HLMU14,2014,140,2300025,LICENCE (LMD),MUSICOLOGIE,,,
HLPH12,2012,120,2100249,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,,1001283,SCIENCES HUMAINES ET SOCIALES :  PHILOSOPHIE
HLPH12,2013,120,2100249,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,,1001283,SCIENCES HUMAINES ET SOCIALES :  PHILOSOPHIE
HLPH12,2014,120,2100249,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,,1001283,SCIENCES HUMAINES ET SOCIALES :  PHILOSOPHIE
HLPH12,2012,121,2100249,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,,,
HLPH12,2013,121,2100249,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,,,
HLPH12,2014,121,2100249,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PHILOSOPHIE,,,
HLPH12,2014,140,2300016,LICENCE (LMD),PHILOSOPHIE,,,
HLPM12,2012,120,2006219,LICENCE PROF,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,PATRIMOINE MATERIEL ET IMMATERIEL,,
HLPM12,2013,120,2006219,LICENCE PROF,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,PATRIMOINE MATERIEL ET IMMATERIEL,,
HLPM12,2014,120,2006219,LICENCE PROF,DEVELOPPEMENT ET PROTECTION DU PATRIMOINE CULTUREL,PATRIMOINE MATERIEL ET IMMATERIEL,,
HLPY12,2012,120,2100198,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,,1001284,SCIENCES HUMAINES ET SOCIALES :  PSYCHOLOGIE
HLPY12,2013,120,2100198,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,,1001284,SCIENCES HUMAINES ET SOCIALES :  PSYCHOLOGIE
HLPY12,2014,120,2100198,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,,1001284,SCIENCES HUMAINES ET SOCIALES :  PSYCHOLOGIE
HLPY12,2012,121,2100198,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,,,
HLPY12,2013,121,2100198,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,,,
HLPY12,2014,121,2100198,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,,,
HLPY12,2014,140,2300014,LICENCE (LMD),PSYCHOLOGIE,,,
HLSL12,2012,120,2100076,LICENCE (LMD),"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE",,1001048,"ARTS, LETTRES, LANGUES  : SCIENCES DU LANGAGE"
HLSL12,2013,120,2100076,LICENCE (LMD),"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE",,1001048,"ARTS, LETTRES, LANGUES  : SCIENCES DU LANGAGE"
HLSL12,2014,120,2100076,LICENCE (LMD),"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE",,1001048,"ARTS, LETTRES, LANGUES  : SCIENCES DU LANGAGE"
HLSL12,2012,121,2100076,LICENCE (LMD),"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE",,,
HLSL12,2013,121,2100076,LICENCE (LMD),"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE",,,
HLSL12,2014,121,2100076,LICENCE (LMD),"ARTS, LETTRES, LANGUES : SCIENCES DU LANGAGE",,,
HLSL14,2014,140,2300020,LICENCE (LMD),SCIENCES DU LANGAGE,,,
HLSO12,2012,120,2100201,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,,1001293,SCIENCES HUMAINES ET SOCIALES :  SOCIOLOGIE
HLSO12,2013,120,2100201,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,,1001293,SCIENCES HUMAINES ET SOCIALES :  SOCIOLOGIE
HLSO12,2014,120,2100201,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,,1001293,SCIENCES HUMAINES ET SOCIALES :  SOCIOLOGIE
HLSO12,2012,121,2100201,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,,,
HLSO12,2013,121,2100201,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,,,
HLSO12,2014,121,2100201,LICENCE (LMD),SCIENCES HUMAINES ET SOCIALES : SOCIOLOGIE,,,
HLSO12,2014,140,2300013,LICENCE (LMD),SOCIOLOGIE,,,
HLVN12,2012,120,2008412,LICENCE PROF,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,NOUVEAUX METIERS DE LA VIDEO NUMERIQUE,,
HLVN12,2014,120,2008412,LICENCE PROF,TECHNIQUES ET ACTIVITES DE L'IMAGE ET DU SON,NOUVEAUX METIERS DE LA VIDEO NUMERIQUE,,
HMAR12,2012,120,2205618,MASTER (LMD),"ARTS,LETTRES,LANGUES:THEORIES ET PRATIQUES DES ARTS VIVANTS(DANSE,MUSIQUE,THEATRE,ETHNOLOGIE DES ARTS VIVANTS)",,2008737,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)"
HMAR12,2013,120,2205618,MASTER (LMD),"ARTS,LETTRES,LANGUES:THEORIES ET PRATIQUES DES ARTS VIVANTS(DANSE,MUSIQUE,THEATRE,ETHNOLOGIE DES ARTS VIVANTS)",,2008737,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)"
HMAR12,2014,120,2205618,MASTER (LMD),"ARTS,LETTRES,LANGUES:THEORIES ET PRATIQUES DES ARTS VIVANTS(DANSE,MUSIQUE,THEATRE,ETHNOLOGIE DES ARTS VIVANTS)",,2008737,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS VIVANTS (DANSE, MUSIQUE, THEATRE, ETHNOLOGIE DES ARTS VIVANTS)"
HMAR12,2012,121,2205618,MASTER (LMD),"ARTS,LETTRES,LANGUES:THEORIES ET PRATIQUES DES ARTS VIVANTS(DANSE,MUSIQUE,THEATRE,ETHNOLOGIE DES ARTS VIVANTS)",,,
HMAR12,2013,121,2205618,MASTER (LMD),"ARTS,LETTRES,LANGUES:THEORIES ET PRATIQUES DES ARTS VIVANTS(DANSE,MUSIQUE,THEATRE,ETHNOLOGIE DES ARTS VIVANTS)",,,
HMAR12,2014,121,2205618,MASTER (LMD),"ARTS,LETTRES,LANGUES:THEORIES ET PRATIQUES DES ARTS VIVANTS(DANSE,MUSIQUE,THEATRE,ETHNOLOGIE DES ARTS VIVANTS)",,,
HMAT12,2012,120,2205816,MASTER (LMD),ANTHROPLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION,,2009214,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION
HMAT12,2013,120,2205816,MASTER (LMD),ANTHROPLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION,,2009214,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION
HMAT12,2014,120,2205816,MASTER (LMD),ANTHROPLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION,,2009214,SCIENCES HUMAINES ET SOCIALES : ANTHROPOLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION
HMAT12,2012,121,2205816,MASTER (LMD),ANTHROPLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION,,,
HMAT12,2013,121,2205816,MASTER (LMD),ANTHROPLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION,,,
HMAT12,2014,121,2205816,MASTER (LMD),ANTHROPLOGIE SOCIALE ET COGNITIVE:NATURE ET FORMES DE LA COOPERATION,,,
HMCO12,2012,120,2201865,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",,2006461,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION"
HMCO12,2013,120,2201865,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",,2006461,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION"
HMCO12,2014,120,2201865,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",,2006461,"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION"
HMCO12,2012,121,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
HMCO12,2013,121,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
HMCO12,2014,121,2211176,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS (ICM),,
HMCO12,2012,122,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
HMCO12,2013,122,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
HMCO12,2014,122,2211175,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVOPPEMENT DURABLE (COMEDD)",,
HMCO12,2012,123,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
HMCO12,2013,123,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
HMCO12,2014,123,2220735,MASTER (LMD),"ARTS, LETTRES, LANGUES : INFORMATION ET COMMUNICATION",DISPOSITIFS SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION (DISTIC),,
HMCO12,2012,124,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
HMCO12,2013,124,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
HMCO12,2014,124,2211177,MASTER (LMD),"ARTS, LETTRES, LANGUES  : INFORMATION ET COMMUNICATION","EVENEMENTIEL, MEDIATION ET INGENIERIE DE LA CULTURE : MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE (EMIC)",,
HMCO12,2012,125,2211178,MASTER (LMD),"LETTRES, LANGUES, ARTS  : INFORMATION ET COMMUNICATION","COMMUNICATIONS ET CULTURES ORGANISATIONNELLES, STRATEGIES D'IMAGES (COSI)",,
HMCO12,2013,125,2211178,MASTER (LMD),"LETTRES, LANGUES, ARTS  : INFORMATION ET COMMUNICATION","COMMUNICATIONS ET CULTURES ORGANISATIONNELLES, STRATEGIES D'IMAGES (COSI)",,
HMCO12,2014,125,2211178,MASTER (LMD),"LETTRES, LANGUES, ARTS  : INFORMATION ET COMMUNICATION","COMMUNICATIONS ET CULTURES ORGANISATIONNELLES, STRATEGIES D'IMAGES (COSI)",,
HMDL12,2012,120,2205826,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM,DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE,SECONDE ET MATERNELLE",2008854,SCIENCES HUMAINES ET SOCIALES : DIDACTIQUES DES LANGUES ET DES DISCIPLINES
HMDL12,2013,120,2205826,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM,DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE,SECONDE ET MATERNELLE",2008854,SCIENCES HUMAINES ET SOCIALES : DIDACTIQUES DES LANGUES ET DES DISCIPLINES
HMDL12,2014,120,2205826,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM,DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE,SECONDE ET MATERNELLE",2008854,SCIENCES HUMAINES ET SOCIALES : DIDACTIQUES DES LANGUES ET DES DISCIPLINES
HMDL12,2012,121,2205826,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM,DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE,SECONDE ET MATERNELLE",,
HMDL12,2013,121,2205826,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM,DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE,SECONDE ET MATERNELLE",,
HMDL12,2014,121,2205826,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:DIDACTIQUE DES LANGUES ET DES DISCIPLINES,"FLESM,DIDACTIQUE DU FRANCAIS LANGUE ETRANGERE,SECONDE ET MATERNELLE",,
HMDL12,2012,122,2205825,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUES DES LANGUES ET DES DISCIPLINES,"DIDEM, DIDACTIQUE DES DISCIPLINES NON LINGUISTIQUES DANS LA ZONE EUROMEDITERRANEE",,
HMDL12,2013,122,2205825,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUES DES LANGUES ET DES DISCIPLINES,"DIDEM, DIDACTIQUE DES DISCIPLINES NON LINGUISTIQUES DANS LA ZONE EUROMEDITERRANEE",,
HMDL12,2014,122,2205825,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUES DES LANGUES ET DES DISCIPLINES,"DIDEM, DIDACTIQUE DES DISCIPLINES NON LINGUISTIQUES DANS LA ZONE EUROMEDITERRANEE",,
HMDL12,2014,140,2205825,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : DIDACTIQUES DES LANGUES ET DES DISCIPLINES,"DIDEM, DIDACTIQUE DES DISCIPLINES NON LINGUISTIQUES DANS LA ZONE EUROMEDITERRANEE",,
HMET12,2012,120,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2008862,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES
HMET12,2013,120,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2008862,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES
HMET12,2014,120,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2008862,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES
HMET12,2012,121,2222791,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""","CHANGEMENT POLITIQUE, POUVOIR, PRODUCTIONS CULTURELLES",,
HMET12,2013,121,2222791,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""","CHANGEMENT POLITIQUE, POUVOIR, PRODUCTIONS CULTURELLES",,
HMET12,2014,121,2222791,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""","CHANGEMENT POLITIQUE, POUVOIR, PRODUCTIONS CULTURELLES",,
HMET12,2012,122,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2008862,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES
HMET12,2012,124,2202040,MASTER (LMD),"SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE ""TRANSFORMATIONS DES SOCIETES CONTEMPORAINES""",,2008862,SCIENCES HUMAINES ET SOCIALES : ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES
HMET12,2012,125,2205838,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:ETHNOLOGIE TRANSFORMATIONS DES SOCIETES CONTEMPORAINES,"EAU,SOCIETES ET DEVELOPPEMENT DURABLE-GESTION SOCIALE DE L'EAU ET MEDIATIONS INSTITUTIONNELLES",,
HMHI12,2012,120,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
HMHI12,2013,120,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
HMHI12,2014,120,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
HMHI12,2012,121,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,,
HMHI12,2013,121,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,,
HMHI12,2014,121,2225379,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE ET ARCHEOLOGIE DES MONDES ANCIENS ET MEDIEVAUX,,
HMHI12,2012,122,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
HMHI12,2013,122,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
HMHI12,2014,122,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
HMHI12,2012,123,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,,
HMHI12,2013,123,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,,
HMHI12,2014,123,2225374,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES : HISTOIRE,HISTOIRE DE LA MEDITERRANEE MODERNE ET CONTEMPORAINE,,
HMHI12,2012,124,2216772,MASTER ENSEIGNEMENT,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EN HISTOIRE GEOGRAPHIE ET EDUCATION CIVIQUE,2008081,SCIENCES HUMAINES ET SOCIALES : METIERS DE L'ENSEIGNEMENT
HMHI12,2012,125,2216772,MASTER ENSEIGNEMENT,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EN HISTOIRE GEOGRAPHIE ET EDUCATION CIVIQUE,,
HMHI12,2013,125,2216772,MASTER ENSEIGNEMENT,SCIENCES HUMAINES ET SOCIALES : HISTOIRE,METIERS DE L'ENSEIGNEMENT ET DE LA FORMATION EN HISTOIRE GEOGRAPHIE ET EDUCATION CIVIQUE,,
HMHI12,2012,126,2205861,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:HISTOIRE,PATRIMOINES,2008026,SCIENCES HUMAINES ET SOCIALES : HISTOIRE
HMHI12,2012,127,2205861,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:HISTOIRE,PATRIMOINES,,
HMHI12,2014,127,2205861,MASTER (LMD),SCIENCES HUMAINES ET SOCIALES:HISTOIRE,PATRIMOINES,,
HMLA12,2012,120,2201867,MASTER (LMD),"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES (ALLEMAND, ANGLAIS, ESPAGNOL, ITALIEN)",,2004301,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES"
HMLA12,2013,120,2201867,MASTER (LMD),"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES (ALLEMAND, ANGLAIS, ESPAGNOL, ITALIEN)",,2004301,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES"
HMLA12,2014,120,2201867,MASTER (LMD),"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES (ALLEMAND, ANGLAIS, ESPAGNOL, ITALIEN)",,2004301,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES"
HMLA12,2013,121,2216567,MASTER (LMD),"ARTS,LETTRES,LANGUES:LANGUES ETRANGERES APPLIQUEES",TRADUCTION ET REDACTION D'ENTREPRISE,,
HMLA12,2014,121,2216567,MASTER (LMD),"ARTS,LETTRES,LANGUES:LANGUES ETRANGERES APPLIQUEES",TRADUCTION ET REDACTION D'ENTREPRISE,,
HMLA12,2012,122,2216565,MASTER LMD,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES","LANGUES ET AFFAIRES INTERNATIONALES, RELATIONS FRANCO-ITALIENNES",,
HMLA12,2013,122,2216565,MASTER LMD,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES","LANGUES ET AFFAIRES INTERNATIONALES, RELATIONS FRANCO-ITALIENNES",,
HMLA12,2014,122,2216565,MASTER LMD,"ARTS, LETTRES, LANGUES : LANGUES ETRANGERES APPLIQUEES","LANGUES ET AFFAIRES INTERNATIONALES, RELATIONS FRANCO-ITALIENNES",,
HMLE12,2012,120,2225253,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",LETTRES,2006919,"ARTS, LETTRES, LANGUES : LETTRES"
HMLE12,2013,120,2225253,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",LETTRES,2006919,"ARTS, LETTRES, LANGUES : LETTRES"
HMLE12,2014,120,2225253,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",LETTRES,2006919,"ARTS, LETTRES, LANGUES : LETTRES"
HMLE12,2012,121,2225253,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",LETTRES,,
HMLE12,2013,121,2225253,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",LETTRES,,
HMLE12,2014,121,2225253,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",LETTRES,,
HMLE12,2012,122,2215539,MASTER ENSEIGNEMENT,"ARTS, LETTRES, LANGUES : LETTRES",LETTRES ENSEIGNEMENT,2008451,"ARTS, LETTRES, LANGUES : METIERS DE L'ENSEIGNEMENT SCOLAIRE, DE LA FORMATION ET DE LA CULTURE"
HMLE12,2012,123,2215539,MASTER ENSEIGNEMENT,"ARTS, LETTRES, LANGUES : LETTRES",LETTRES ENSEIGNEMENT,,
HMLE12,2013,123,2215539,MASTER ENSEIGNEMENT,"ARTS, LETTRES, LANGUES : LETTRES",LETTRES ENSEIGNEMENT,,
HMLE12,2012,124,2204213,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",DOCUMENTATION,2006919,"ARTS, LETTRES, LANGUES : LETTRES"
HMLE12,2013,124,2204213,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",DOCUMENTATION,2006919,"ARTS, LETTRES, LANGUES : LETTRES"
HMLE12,2014,124,2204213,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",DOCUMENTATION,2006919,"ARTS, LETTRES, LANGUES : LETTRES"
HMLE12,2012,125,2204213,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",DOCUMENTATION,,
HMLE12,2013,125,2204213,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",DOCUMENTATION,,
HMLE12,2014,125,2204213,MASTER (LMD),"ARTS, LETTRES, LANGUES : LETTRES",DOCUMENTATION,,
