ID,Intitulé emploi,ROME lib niveau 1,ROME lib niveau 2,Code ROME,Intitulé ROME,,,,,Type de contrat,Niveau emploi,Type employeur,Secteur d'activité,Effectifs de l'entreprise,,,Salaire,,Mode d'obtention,Durée d'accès,Année_diplôme,Code diplôme,Composante,Mention,Spécialité,,Filière_diplôme
1675,Ingénieur Développement ,INDUSTRIE,"Conception, recherche, études et développement",H1210,"Intervention technique en études, recherche et développement",,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,De 50 à 199,,,2000 à 2500,,ANPE-Pôle Emploi,7 à 11 mois,2008,2212316,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)","MULTIMEDIA, BASES DE DONNEES ET SYSTEMES (MBDS)",,INFORMATIQUE
1676,Ingénieur d'études,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Autres activités de service,De 10 à 49,,,2000 à 2500,,site monster,12 mois et plus,2008,2212315,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)",METHODE INFORMATIQUE APPLIQUEE A LA GESTION DES ENTREPRISES (MIAGE),,INFORMATIQUE
1677,Chef de projet ,,,,,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Commerce, transports, hébergement et restauration",De 10 à 49,,,,,Candidature spontanée,Accès direct,2008,2200755,UFR STAPS,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNOLOGIES DU MOUVEMENT HUMAIN",SCIENCES DU MOUVEMENT HUMAIN,,STAPS
1678,Contrôleur de gestion,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1204,Contrôle de gestion,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,Activités financières et d'assurance,De 200 à 499,,,,,agence d'interime,4 à 6 mois,2008,2210318,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",DIRECTION FINANCIERE AUDIT INTERNE ET CONTROLE DE GESTION,,GESTION
1679,Chef de projet SI,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,500 et plus,,,1000 à 1500,,Candidature spontanée,Accès direct,2008,2212316,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)","MULTIMEDIA, BASES DE DONNEES ET SYSTEMES (MBDS)",,INFORMATIQUE
1680,Consultant(e),"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,500 et plus,,,1000 à 1500,,Candidature spontanée,Accès direct,2008,2212315,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)",METHODE INFORMATIQUE APPLIQUEE A LA GESTION DES ENTREPRISES (MIAGE),,INFORMATIQUE
1681,Chef de projet en intégration,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1803,Direction des systèmes d'information,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",De 50 à 199,,,1500 à 2000,,Réseau de relations personnelles,7 à 11 mois,2008,2212316,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)","MULTIMEDIA, BASES DE DONNEES ET SYSTEMES (MBDS)",,INFORMATIQUE
1682,Ingénieur d'études,,,,,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,500 et plus,,,,,Candidature spontanée,1 à 3 mois,2008,2212309,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET GESTION DE LA TERRE (SGT)","GESTION, ENVIRONNEMENT ET DEVELOPPEMENT DURABLE (GEDD)",,STE
1683,Consultant en stratégie digitale,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,De 200 à 499,,,2000 à 2500,,À l'issue d'un stage,1 à 3 mois,2008,2210334,IAE,"DROIT, ECONOMIE, GESTION : MARKETING ET STRATEGIE",COMMUNICATION ORGANISATIONNELLE,,GESTION
1684,Attaché territorial Référent Marchés Publics,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1404,Mise en oeuvre et pilotage de la politique des pouvoirs,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,500 et plus,,,2000 à 2500,,Réseau de relations personnelles,12 mois et plus,2008,2210679,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,ORGANISATION ET ADMINISTRATION DES COLLECTIVITES PUBLIQUES,,SCIENCES POLITIQUES
1685,Médecin biologiste directeur adjoint,SANTE,Praticiens médico-techniques,J1201,Biologie médicale,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Santé humaine et action sociale,De 10 à 49,,,2500 et plus,,Candidature spontanée,Accès direct,2008,2212305,UFR Médecine,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE DU SYSTEME DE SANTE","QUALITE, SECURITE, RISQUE ET INGENIERIE DU MANAGEMENT",,MEDECINE
1686,Ingénieur Logiciel,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,500 et plus,,,2500 et plus,,Prospection SII,12 mois et plus,2008,2212313,EPU,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)",INFORMATIQUE ET MATHEMATIQUES APPLIQUEES A LA FINANCE ET A L'ASSURANCE (IMAFA),,INFORMATIQUE
1687,Collaborateur(trice) comptable,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1202,Audit et contrôle comptables et financiers,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,De 50 à 199,,,1500 à 2000,,À l'issue d'un stage,Accès direct,2008,2210317,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE","COMPTABILITE, CONTROLE, AUDIT",,GESTION
1688,Assistante de direction,SUPPORT À L'ENTREPRISE,Secrétariat et assistance,M1604,Assistanat de direction,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Commerce, transports, hébergement et restauration",De 50 à 199,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2008,2220262,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",RECHERCHE EN DROIT ECONOMIQUE,,DROIT
1689,Responsable qualité,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,Autres activités de service,De 3 à 9,,,,,Réseau de relations personnelles,12 mois et plus,2008,2210681,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,LA SANTE DES POPULATIONS,,SCIENCES POLITIQUES
1690,Responsable Développement Interfaces,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1805,Études et développement informatique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,De 10 à 49,,,2500 et plus,,Candidature spontanée,7 à 11 mois,2008,2212315,UFR Sciences,"SCIENCES, TECHNOLOGIES ET SANTE : SCIENCES ET TECHNIQUES DE L'INFORMATION ET DE LA COMMUNICATION (STIC)",METHODE INFORMATIQUE APPLIQUEE A LA GESTION DES ENTREPRISES (MIAGE),,INFORMATIQUE
1691,DGA du centre hospitalier de nouakchott(Mauritanie),SUPPORT À L'ENTREPRISE,Direction d'entreprise,M1301,Direction de grande entreprise ou d'établissement public,,,,,Fonctionnaire,Niveau ingénieur ou cadre,Une entreprise publique,Santé humaine et action sociale,500 et plus,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2008,2212305,UFR Médecine,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE DU SYSTEME DE SANTE","QUALITE, SECURITE, RISQUE ET INGENIERIE DU MANAGEMENT",,MEDECINE
1692,Kinésithérapeute,SANTE,Rééducation et appareillage,J1404,Kinésithérapie,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Santé humaine et action sociale,De 3 à 9,,,,,,Accès direct,2008,2210681,UFR Droit,DROIT ECONOMIE GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE,LA SANTE DES POPULATIONS,,SCIENCES POLITIQUES
1693,Conseiller juridique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Activités financières et d'assurance,500 et plus,,,2500 et plus,,Candidature spontanée,12 mois et plus,2008,2220500,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN",DROIT INTERNATIONAL ET EUROPEEN PUBLIC ET PRIVE,,DROIT
1694,Assistante juridique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1902,Collaborationjuridique,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,De 3 à 9,,,2500 et plus,,Réseau de relations personnelles,12 mois et plus,2008,2220499,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN",DROIT ET FINANCEMENT DU DEVELOPPEMENT,,DROIT
1695,Chargé de projet,INDUSTRIE,"Conception, recherche, études et développement",H1206,"Management et ingénierie études, recherche et développement industriel",,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,2000 à 2500,,Candidature spontanée,4 à 6 mois,2008,2210323,EPU,"DROIT, ECONOMIE, GESTION : MANAGEMENT",MANAGEMENT DE PROJETS INNOVANTS,,GESTION
1696,Avocat(e),SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,,Pas de salarié,,,,,Candidature spontanée,12 mois et plus,2008,2210327,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE D'ENTREPRISE,,DROIT
1697,Consultant en cessions et restructurations,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1201,Analyse et ingénierie financière,,,,,CDI,,Une entreprise privée,Activités de services administratifs et de soutien,De 10 à 49,,,2000 à 2500,,Candidature spontanée,7 à 11 mois,2008,2210331,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",INGENIERIE FINANCIERE,,GESTION
1698,Conseiller juridique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDI,,Une association,,De 10 à 49,,,2000 à 2500,,À l'issue d'un stage,1 à 3 mois,2008,2210328,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE DU SPORT,,DROIT
1699,Chargé de diagnostic accessibilité des ERP,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,,Une entreprise privée,Autres activités de service,De 10 à 49,,,1000 à 1500,,ANPE-Pôle Emploi,12 mois et plus,2008,2210328,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE DU SPORT,,DROIT
1700,Formateur en immobilier (CQP Négociateur),SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2111,Formation professionnelle,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,de 3 à 9,,,1500 à 2000,,Réseau de relations personnelles/familiales,12 mois et plus,2009,2210682,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",METIERS DE L'IMMOBILIER ET DE L'URBANISME,,SCIENCES POLITIQUES
1701,Asset Manager Bureaux SCPI,"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1105,Études actuarielles en assurances,,,,,Intérimaire,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,2500 et plus,,Stage(s),12 mois et plus,2009,2210684,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",SECURITE INTERIEURE,,SCIENCES POLITIQUES
1702,Gestionnaire administrative propriétéintellectuell,,,,,,,,,Intérimaire,Niveau ingénieur ou cadre,Une entreprise privée,Construction,500 et plus,,,2500 et plus,,Autre mode d'obtention,12 mois et plus,2009,2215128,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",DROIT DES NOUVELLES TECHNONOGIES,,DROIT
1703,psychologue,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,500 et plus,,,2500 et plus,,Concours administratif,Accès direct,2009,2211473,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"PSYCHOPATHOLOGIES INTERCULTURELLES, CLINIQUES DU LIEN SOCIAL ET DES SITUATIONS DE CRISE ET PSYCHOPA",,PSYCHOLOGIE
1704,Enseigant en mathématiques,,,,,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,500 et plus,,,2000 à 2500,,Candidature spontanée par courrier,1 à 3 mois,2009,2210323,EPU,"DROIT, ECONOMIE, GESTION : MANAGEMENT",MANAGEMENT DE PROJETS INNOVANTS,,GESTION
1705,Ingénieur financier,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1201,Analyse et ingénierie financière,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 50 à 199,,,2500 et plus,,Candidature spontanée par courrier,Accès direct,2009,2210331,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",INGENIERIE FINANCIERE,,GESTION
1706,directeur administratif ,SUPPORT À L'ENTREPRISE,Direction d'entreprise,M1301,Direction de grande entreprise ou d'établissement public,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,500 et plus,,,2500 et plus,,Concours administratif,Accès direct,2009,2210836,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET CONSEIL EN RESSOURCES HUMAINES,,ECONOMIE
1707,PROFESSEURE,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2106,Enseignement des écoles,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 50 à 199,,,1500 à 2000,,Autre mode d'obtention,,2009,2210335,IAE,"DROIT, ECONOMIE, GESTION : MARKETING ET STRATEGIE",MARKETING:ETUDES DE MARCHE ET COMMERCIALISATION,,GESTION
1708,juriste,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,CDD,Niveau ingénieur ou cadre,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)",Autres activités de service,de 10 à 49,,,1500 à 2000,,Candidature spontanée par Internet,7 à 11 mois,2009,2210327,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE D'ENTREPRISE,,DROIT
1709,Psychologue,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDD,Niveau ingénieur ou cadre,Une association,Santé humaine et action sociale,de 200 à 499,,,1500 à 2000,,Réseau de relations tissées durant les études,1 à 3 mois,2009,2211471,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE ET NEUROPSYCHOLOGIE DU DEVELOPPEMENT ET DES FONCTIONNEMENTS COGNITIFS,,PSYCHOLOGIE
1710,psychologue,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Santé humaine et action sociale,Pas de salarié,,,1000 à 1500,,,12 mois et plus,2009,2211471,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE ET NEUROPSYCHOLOGIE DU DEVELOPPEMENT ET DES FONCTIONNEMENTS COGNITIFS,,PSYCHOLOGIE
1711,Ingénieur Qualité Faisant Fonction,INDUSTRIE,Qualité et analyses industrielles,H1502,Management et ingénierie qualité industrielle,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Santé humaine et action sociale,500 et plus,,,,,Autre mode d'obtention,1 à 3 mois,2009,2212305,UFR Médecine,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE DU SYSTEME DE SANTE","QUALITE, SECURITE, RISQUE ET INGENIERIE DU MANAGEMENT",,MEDECINE
1712,gestionnaire de paie,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1203,Comptabilité,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,,,Candidature spontanée par Internet,4 à 6 mois,2009,2210334,IAE,"DROIT, ECONOMIE, GESTION : MARKETING ET STRATEGIE",COMMUNICATION ORGANISATIONNELLE,,GESTION
1713,AVOCAT,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1903,Défense et conseil juridique,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,"Activités spécialisées, scientifiques et techniques",Pas de salarié,,,,,,4 à 6 mois,2009,2210682,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",METIERS DE L'IMMOBILIER ET DE L'URBANISME,,SCIENCES POLITIQUES
1714,PSYCHOLOGUE CLINICIEN,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDD,Niveau ingénieur ou cadre,Une association,Santé humaine et action sociale,de 50 à 199,,,1500 à 2000,,Candidature spontanée par courrier,12 mois et plus,2009,2211473,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"PSYCHOPATHOLOGIES INTERCULTURELLES, CLINIQUES DU LIEN SOCIAL ET DES SITUATIONS DE CRISE ET PSYCHOPA",,PSYCHOLOGIE
1715,PROGRAMME OFFICER,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Défense, sécurité publique et secours",K1703,Direction operationnelle de la défense ,,,,,CDD,Niveau ingénieur ou cadre,Une association,Autres activités de service,de 200 à 499,,,,,Réseau de relations personnelles/familiales,12 mois et plus,2009,2220499,IDPD,"DROIT, ECONOMIE, GESTION : DROIT INTERNATIONAL ET EUROPEEN",DROIT ET FINANCEMENT DU DEVELOPPEMENT,,DROIT
1716,collaborateur de cabinet,"CONSTRUCTION, BÂTIMENT ET TRAVAUX PUBLICS",Conception et études,F1104,Dessin BTP,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,2500 et plus,,Stage(s),Accès direct,2009,2210334,IAE,"DROIT, ECONOMIE, GESTION : MARKETING ET STRATEGIE",COMMUNICATION ORGANISATIONNELLE,,GESTION
1717,directeur des soins,SANTE,Soins paramédicaux,J1502,Coordination de services médicaux ou paramédicaux,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Santé humaine et action sociale,500 et plus,,,2500 et plus,,Autre mode d'obtention,Accès direct,2009,2212305,UFR Médecine,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE DU SYSTEME DE SANTE","QUALITE, SECURITE, RISQUE ET INGENIERIE DU MANAGEMENT",,MEDECINE
1718,enseignant contractuel éco gestion,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,CDD,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 50 à 199,,,2000 à 2500,,Réseau de relations personnelles/familiales,Accès direct,2009,2214342,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",ADMINISTRATION DES ENTREPRISES,,GESTION
1719,Praticien hospitalier,SANTE,Praticiens médicaux,J1102,Médecine généraliste et spécialisée,,,,,CDI,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Santé humaine et action sociale,de 50 à 199,,,2500 et plus,,Réseau de relations personnelles/familiales,Accès direct,2009,2210683,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",POLITIQUE DE LA VILLE,,SCIENCES POLITIQUES
1720,Conseiller en gestion de patrimoine,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1205,Conseil en gestion de patrimoine financier,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Activités financières et d'assurance,Pas de salarié,,,1500 à 2000,,Autre mode d'obtention,4 à 6 mois,2009,2210330,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",GESTION INTERNATIONALE DE LA FORTUNE,,GESTION
1721,chargé de clientèle entreprises BTP Banque,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1203,Relation clients banque/finance,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Activités financières et d'assurance,de 200 à 499,,,2000 à 2500,,Stage(s),Accès direct,2009,2214690,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT ECONOMIQUE ET DES AFFAIRES",JURISTE BANQUE ET FINANCE,,DROIT
1722,Psychologue,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Santé humaine et action sociale,de 10 à 49,,,1500 à 2000,,Stage(s),Accès direct,2009,2211466,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE CLINIQUE ET GERONTOLOGIE,,PSYCHOLOGIE
1723,Psychologue clinicienne,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDI,Niveau ingénieur ou cadre,Une association,Santé humaine et action sociale,500 et plus,,,1500 à 2000,,Candidature spontanée par Internet,1 à 3 mois,2009,2211473,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,"PSYCHOPATHOLOGIES INTERCULTURELLES, CLINIQUES DU LIEN SOCIAL ET DES SITUATIONS DE CRISE ET PSYCHOPA",,PSYCHOLOGIE
1724,Ingenieur d'etudes,INDUSTRIE,"Conception, recherche, études et développement",H1206,"Management et ingénierie études, recherche et développement industriel",,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",500 et plus,,,,,Réseaux sociaux et professionnels sur Internet,12 mois et plus,2009,2221707,UFR Sciences,"SCIENCES, TECHNOLOGIES, SANTE : INGENIERIE MATHEMATIQUE ET ECONOMIE APPLIQUEE","INGENIERIE STOCHASTIQUE, STATISTIQUE ET METHODES QUANTITATIVES EN ECONOMIE ET FINANCE",,MATHEMATIQUES
1725,Assistant Satellite,,,,,,,,,CDD,Niveau ouvrier ou employé,Une association,Santé humaine et action sociale,de 50 à 199,,,1500 à 2000,,Stage(s),4 à 6 mois,2009,2215124,UFR Droit,"DROIT, ECONOMIE, GESTION : STRATEGIES INTERNATIONALES ECONOMIQUES ET FINANCIERES",STRATEGIE D'ENTREPRISE ET DEVELOPPEMENT INTERNATIONAL,,ECONOMIE
1726,Travailleur indépendant,,,,,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,de 1 à 2,,,2500 et plus,,Autre mode d'obtention,Accès direct,2009,2210684,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",SECURITE INTERIEURE,,SCIENCES POLITIQUES
1727,Directeur d'EHPAD,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Conception et mise en oeuvre des politiques publiques,K1403,"Management de structure de santé, sociale ou pénitentiaire",,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Santé humaine et action sociale,500 et plus,,,2500 et plus,,Stage(s),Accès direct,2009,2210681,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT PUBLIC ET SCIENCE POLITIQUE",LA SANTE DES POPULATIONS,,SCIENCES POLITIQUES
1728,Notaire stagiaire,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Droit,K1901,Aide et médiation judiciaire,,,,,CDD,Niveau technicien ou agent de maîtrise,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)","Activités spécialisées, scientifiques et techniques",de 10 à 49,,,,,Candidature spontanée par Internet,12 mois et plus,2009,2210676,UFR Droit,"DROIT, ECONOMIE, GESTION : DROIT PRIVE",DROIT NOTARIAL,,DROIT
1729,Cadre commercial,"COMMERCE, VENTE ET GRANDE DISTRIBUTION",Force de vente,D1407,Relation technico-commerciale,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,Construction,de 50 à 199,,,,,Candidature spontanée par Internet,12 mois et plus,2009,2220552,UFR Droit,"DROIT, ECONOMIE, GESTION : ECONOMIE ET MANAGEMENT DE L'ORGANISATION ET DE LA CONNAISSANCE",ECONOMIE ET MANAGEMENT DE L'INNOVATION ET DE LA  CONNAISSANCE,,ECONOMIE
1730,conseiller de clientèle,"BANQUE, ASSURANCE, IMMOBILIER",Assurance,C1102,Conseil clientèle en assurances,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,Activités financières et d'assurance,de 10 à 49,,,1500 à 2000,,Stage(s),1 à 3 mois,2009,2210330,IAE,"DROIT, ECONOMIE, GESTION : FINANCE COMPTABILITE",GESTION INTERNATIONALE DE LA FORTUNE,,GESTION
1731,Médiatrice,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1204,Médiation sociale et facilitation de la vie en société,,,,,CDD,Niveau ouvrier ou employé,Une entreprise privée,"Commerce, transports, hébergement et restauration",de 10 à 49,,,Moins de 1000,,Candidature spontanée par Internet,12 mois et plus,2009,2210322,IAE,"DROIT, ECONOMIE, GESTION : MANAGEMENT",MANAGEMENT DU SPORT,,GESTION
1732,Psychologue,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Accompagnement de la personne,K1104,Psychologie,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Santé humaine et action sociale,de 10 à 49,,,Moins de 1000,,Candidature spontanée par Internet,12 mois et plus,2009,2211466,UFR LASH,SCIENCES HUMAINES ET SOCIALES : PSYCHOLOGIE,PSYCHOLOGIE CLINIQUE ET GERONTOLOGIE,,PSYCHOLOGIE
