ID,Intitulé_emploi,ROME niveau 1 lib,ROME niveau 2 lib,CodeROME,Intitulé ROME,FAPcode,FAPlib,PCScode,PCSlib,Statut_emploi,Niveau_emploi,Type_employeur,Secteur_activité_entreprise,Effectif_entreprise,Temps_travail,Quotité_partiel,Classe_rémuneration_mensuelle,Département_emploi,Mode_obtention,Durée_accès,Année_diplôme,Code_diplôme,Composante_diplôme,Mention_diplôme,Spécialité_diplôme,Domaine_diplôme,Filière_diplôme,Diplôme_ROME1,Diplôme_ROME2,Diplôme_ROME3,Diplôme_ROME4,Diplôme_ROME5
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDD,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,2000 à 2500,,Candidature spontanée,1 à 3 mois,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargée de projets culturels,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1206,Intervention socioculturelle,,,,,CDI,Niveau ingénieur ou cadre,Une association,"Arts, spectacles et activités récréatives",De 1 à 2,,,1500 à 2000,,Réseau de relations personnelles,12 mois et plus,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,Volontariat international,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Autres activités de service,De 10 à 49,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargée de production,SPECTACLE,Conception et production de spectacles,L1302,"Production et administration spectacle, cinéma et audiovisuel",,,,,CDD,Niveau ouvrier ou employé,Une entreprise privée,Information et communication,De 3 à 9,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Chargée de projets culturels,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1206,Intervention socioculturelle,,,,,Volontariat international,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Arts, spectacles et activités récréatives",De 10 à 49,,,1500 à 2000,,Candidature spontanée,4 à 6 mois,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Traducteur(trice) free-lance,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Une entreprise privée,"Arts, spectacles et activités récréatives",Pas de salarié,,,1500 à 2000,,Réseau de relations personnelles,Accès direct,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Industries (manufacturières, extractives et autres)",500 et plus,,,1500 à 2000,,Réseau de relations personnelles,1 à 3 mois,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargée de médiation et programmation jeune public,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1204,Médiation sociale et facilitation de la vie en société,,,,,Intermittent du spectacle,Niveau technicien ou agent de maîtrise,Une entreprise privée,"Arts, spectacles et activités récréatives",De 3 à 9,,,Moins de 1000,,Réseau de relations personnelles,12 mois et plus,2008,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,Agent de développement artistique et culturel,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1204,Médiation sociale et facilitation de la vie en société,,,,,CDI,Niveau technicien ou agent de maîtrise,Une association,"Arts, spectacles et activités récréatives",De 1 à 2,,,1000 à 1500,,Réseau de relations personnelles,12 mois et plus,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Opérateur laboratoire pharmaceutique,INDUSTRIE,Chimie et pharmacie,H2301,Conduite d'équipement de production chimique ou pharmaceutique,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,,500 et plus,,,,,Intérime,12 mois et plus,2008,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,"Activités spécialisées, scientifiques et techniques",De 10 à 49,,,1500 à 2000,,Candidature spontanée,1 à 3 mois,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Adjoint Directeur centre d'art,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2103,Direction d'établissement et d'enseignement,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)","Arts, spectacles et activités récréatives",500 et plus,,,2500 et plus,,Candidature spontanée,,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDD,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)","Arts, spectacles et activités récréatives",500 et plus,,,1000 à 1500,,Candidature spontanée,12 mois et plus,2008,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,Responsable des projets interculturels ,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1206,Intervention socioculturelle,,,,,CDI,,Une association,"Arts, spectacles et activités récréatives",De 1 à 2,,,Moins de 1000,,Candidature spontanée,12 mois et plus,2008,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,Attachée de presse,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,De 50 à 199,,,2500 et plus,,À l'issue d'un stage,Accès direct,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Intervenant en danse dans les écoles de Nice,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2105,Enseignement artistique,,,,,CDD,Niveau ouvrier ou employé,,Enseignement,De 10 à 49,,,1500 à 2000,,Réseau de relations personnelles,Accès direct,2008,2220736,UFR LASH,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE",ETUDES EN DANSE,,ARTS,,,,,
,Chef de projet communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau technicien ou agent de maîtrise,Une entreprise privée,Information et communication,De 3 à 9,,,1500 à 2000,,Candidature spontanée,,2008,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Adaptatrice,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1102,"Ecriture d'ouvrages, de livres",,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Une entreprise privée,"Arts, spectacles et activités récréatives",,,,2500 et plus,,Candidature spontanée,4 à 6 mois,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Chargée de cours,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2108,Enseignement supérieur,,,,,Vacataire,,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,,,,Moins de 1000,,Réseau de relations tissé durant les études,Accès direct,2008,2220743,UFR LASH,"ARTS, LETTRES, LANGUES : LINGUISTIQUE",LINGUISTIQUE,,LINGUISTIQUE,,,,,
,Assistante de galerie,"BANQUE, ASSURANCE, IMMOBILIER",Immobilier,C1502,Gestion locative immobilière,,,,,CDD,,"Une personne exerçant une profession libérale ou un indépendant (cabinet, étude notariale...)","Arts, spectacles et activités récréatives",De 10 à 49,,,Moins de 1000,,Candidature spontanée,12 mois et plus,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Référenceur,"COMMUNICATION, MEDIA ET MULTIMEDIA",Publicité,E1402,Élaboration de plan média,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Information et communication,Pas de salarié,,,,,Création,12 mois et plus,2008,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,"Webmaster, directrice artistique","COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1104,Conception de contenus multimédias,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,De 3 à 9,,,,,À l'issue d'un stage,4 à 6 mois,2008,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Professeur d'espagnol,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,De 200 à 499,,,1500 à 2000,,Réussite concours administratif,12 mois et plus,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,Emplois aidés (Contrat Initiative Emploi...),,,"Arts, spectacles et activités récréatives",De 3 à 9,,,Moins de 1000,,Candidature spontanée,12 mois et plus,2008,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,Assistante d'éducation en informatique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,CDD,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,De 10 à 49,,,Moins de 1000,,Candidature spontanée,7 à 11 mois,2008,2220735,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",DISPOSITIF SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION,,INFOCOM,,,,,
,Conseiller support,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1806,Expertise et support technique en systèmes d'information,,,,,CDI,Niveau ouvrier ou employé,Une entreprise publique,Activités de services administratifs et de soutien,500 et plus,,,,,Réseau de relations personnelles,Accès direct,2008,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Traductrice adaptatrice,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1102,"Ecriture d'ouvrages, de livres",,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Une entreprise privée,"Arts, spectacles et activités récréatives",De 10 à 49,,,1500 à 2000,,Candidature spontanée,1 à 3 mois,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Monitrice éducatrice,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,"Action sociale, socio-éducative et socio-culturelle",K1207,Intervention socioéducative,,,,,CDI,,Une association,Santé humaine et action sociale,De 200 à 499,,,1500 à 2000,,Candidature spontanée,Accès direct,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Chargée du secteur des relations avec le public,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau technicien ou agent de maîtrise,Une association,"Arts, spectacles et activités récréatives",De 10 à 49,,,1000 à 1500,,Candidature spontanée,12 mois et plus,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Traducteur(trice) free-lance,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,"Arts, spectacles et activités récréatives",Pas de salarié,,,1000 à 1500,,Candidature spontanée,Accès direct,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Professeur des écoles,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2106,Enseignement des écoles,,,,,Fonctionnaire,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,500 et plus,,,1000 à 1500,,Réussite concours administratif,12 mois et plus,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Chargé insertion,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Développement territorial et emploi,K1801,Conseil en emploi et insertion socioprofessionnelle,,,,,CDI,Niveau ouvrier ou employé,Une association,Santé humaine et action sociale,De 10 à 49,,,,,Réseau de relations personnelles,Accès direct,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargée de production,SPECTACLE,Conception et production de spectacles,L1302,"Production et administration spectacle, cinéma et audiovisuel",,,,,Emplois aidés (Contrat Initiative Emploi...),Niveau ouvrier ou employé,Une association,"Arts, spectacles et activités récréatives",De 1 à 2,,,1000 à 1500,,À l'issue d'un stage,7 à 11 mois,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Traducteur(trice) free-lance,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,"Profession libérale, Indépendant, Chef d'entreprise",,Vous-même,"Arts, spectacles et activités récréatives",,,,1000 à 1500,,Réseau de relations tissé durant les études,1 à 3 mois,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Responsable financier et environnement ,SUPPORT À L'ENTREPRISE,Organisation et études,M1402,Conseil en organisation et management d'entreprise,,,,,CDD,Niveau technicien ou agent de maîtrise,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,500 et plus,,,2000 à 2500,,ANPE-Pôle Emploi,12 mois et plus,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Autres activités de service,De 1 à 2,,,1500 à 2000,,Candidature spontanée,1 à 3 mois,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargé(e) de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDD,Niveau technicien ou agent de maîtrise,Une association,"Arts, spectacles et activités récréatives",De 10 à 49,,,1000 à 1500,,Réseau de relations personnelles,7 à 11 mois,2008,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Chargée de communication,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,Emplois aidés (Contrat Initiative Emploi...),Niveau technicien ou agent de maîtrise,Une association,"Arts, spectacles et activités récréatives",De 50 à 199,,,,,ANPE-Pôle Emploi,,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Directrice artistique,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1104,Conception de contenus multimédias,,,,,CDI,Niveau ingénieur ou cadre,Une entreprise privée,Information et communication,De 10 à 49,,,2000 à 2500,,Candidature spontanée,,2008,2211176,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",INGENIERIE DE LA CREATION MULTIMEDIA ET DIRECTION ARTISTIQUE DE PROJETS,,INFOCOM,,,,,
,Auteur traductrice en doublage de film,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1108,"Traduction, interprétariat",,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Information et communication,Pas de salarié,,,2500 et plus,,À l'issue d'un stage,,2008,2211180,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","TRADUCTION SPECIALISEE (TRADUCTION,SOUS TITRAGE, ET DOUBLAGE DES PRODUCTIONS AUDIOVISUELLES)",,LANGUES,,,,,
,Chef de projet,"COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,Niveau ouvrier ou employé,Une entreprise privée,Information et communication,De 10 à 49,,,1500 à 2000,,Candidature spontanée,12 mois et plus,2008,2220735,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",DISPOSITIF SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION,,INFOCOM,,,,,
,Enseignante,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,De 50 à 199,,,1500 à 2000,,Réussite concours administratif,12 mois et plus,2008,2211178,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDITERRANEE:IDENTITES, COMMUNICATION ET DEVELOPPEMENTS INTERCULTURELS",,INFOCOM,,,,,
,Assistante de production,SPECTACLE,Conception et production de spectacles,L1302,"Production et administration spectacle, cinéma et audiovisuel",,,,,"Profession libérale, Indépendant, Chef d'entreprise",,Une entreprise privée,"Arts, spectacles et activités récréatives",De 10 à 49,,,1500 à 2000,,Réseau de relations personnelles,12 mois et plus,2008,2220735,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION",DISPOSITIF SOCIO-TECHNIQUES D'INFORMATION ET DE COMMUNICATION,,INFOCOM,,,,,
,Direction administrative et financière,SUPPORT À L'ENTREPRISE,Comptabilité et gestion,M1205,Direction administrative et financière,,,,,"Profession libérale, Indépendant, Chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,"Industries (manufacturières, extractives et autres)",De 1 à 2,,,,,recherches,7 à 11 mois,2008,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Auto entrepreneur,,,,,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,"Arts, spectacles et activités récréatives",de 1 à 2,,,1000 à 1500,,,Accès direct,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
,Géographe environnementaliste ,SUPPORT À L'ENTREPRISE,Systèmes d'information et de télécommunication,M1808,Information géographique,,,,,"Profession libérale, indépendant, chef d'entreprise",Niveau ingénieur ou cadre,Vous-même,Activités de services administratifs et de soutien,de 3 à 9,,,1500 à 2000,,"Forums, salons",12 mois et plus,2009,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Professeur certifié,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 10 à 49,,,1500 à 2000,,Concours administratif,12 mois et plus,2009,2224597,UFR LASH,"ARTS, LETTRES, LANGUES : LANGUES APPLIQUEES","LANGUES, CIVILISATION ET LITTERATURES ETRANGERES",,LANGUES,,,,,
,professeur de lettres collège,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,CDD,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 50 à 199,,,1000 à 1500,,Candidature spontanée par courrier,12 mois et plus,2009,2201859,UFR LASH,"ARTS, LETTRES, LANGUES : DIDACTIQUES DES LANGUES",DIDACTIQUE DES LANGUES,,LANGUES,,,,,
,Enseignant contractuel,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,CDD,,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 50 à 199,,,,,"Organismes publics d'aide à l'emploi (Pôle Emploi, APEC...)",Accès direct,2009,2220736,UFR LASH,"ARTS, LETTRES, LANGUES : THEORIES ET PRATIQUES DES ARTS:DANSE, MUSIQUE, THEATRE",THEORIE ET PRATIQUE DES ARTS,,ARTS,,,,,
,Administrateur écclésiastique,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Culture et gestion documentaire,K1601,Gestion de l'information et de la documentation,,,,,CDI,,Une association,Santé humaine et action sociale,de 1 à 2,,,1000 à 1500,,Réseau de relations personnelles/familiales,Accès direct,2009,2220743,UFR LASH,"ARTS, LETTRES, LANGUES : LINGUISTIQUE",LINGUISTIQUE,,LINGUISTIQUE,,,,,
,Conseillère en collecte sélective,"BANQUE, ASSURANCE, IMMOBILIER",Banque,C1206,Gestion de clientèle bancaire,,,,,CDD,Niveau ouvrier ou employé,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,de 10 à 49,,,1000 à 1500,,Candidature spontanée par courrier,12 mois et plus,2009,2211175,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","COMMUNICATION ECOCITOYENNE, PATRIMOINE ET DEVELOPPEMENT DURABLE",,INFOCOM,,,,,
,Professeur agrégé,SERVICES A LA PERSONNE ET A LA COLLECTIVITE,Formation initiale et continue,K2107,Enseignement général du second degré,,,,,Fonctionnaire,Niveau ingénieur ou cadre,"La fonction publique (d'Etat, territoriale ou hospitalière)",Enseignement,de 200 à 499,,,2500 et plus,,Candidature spontanée par courrier,Accès direct,2009,2220743,UFR LASH,"ARTS, LETTRES, LANGUES : LINGUISTIQUE",LINGUISTIQUE,,LINGUISTIQUE,,,,,
,"Assistante section politique,presse et information","COMMUNICATION, MEDIA ET MULTIMEDIA",Edition et communication,E1103,Communication,,,,,CDI,,"La fonction publique (d'Etat, territoriale ou hospitalière)",Administration publique,de 10 à 49,,,2500 et plus,,Candidature spontanée par courrier,12 mois et plus,2009,2211177,UFR LASH,"ARTS, LETTRES, LANGUES : INFORMATION, COMMUNICATION","MEDIATION ET INGENIERIE CULTURELLES:MUSEOLOGIE, ARTS ACTUELS ET PATRIMOINE",,INFOCOM,,,,,
